area;dificuldade;referencia_principal;tipo_questao;question_id
direito_empresarial;Nível 4 - Ministro (STF/STJ);Art. 674 do CPC/15;Peça Profissional;40_direito_empresarial_peca_profissional
direito_empresarial;Nível 2 - Analista;Art. 124 e Art. 133 da Lei 9.279/96;Discursiva;40_direito_empresarial_questao_1
direito_civil;Nível 3 - Juiz de Direito;Art. 50 do Código Civil;Discursiva;40_direito_empresarial_questao_2
direito_empresarial;Nível 3 - Juiz de Direito;Art. 117 e Art. 119, IV, da Lei nº 11.101/05;Discursiva;40_direito_empresarial_questao_3
direito_empresarial;Nível 1 - Estagiário;Art. 1.182 do Código Civil;Discursiva;40_direito_empresarial_questao_4
direito_penal;Nível 4 - Ministro (STF/STJ);Art. 593, inciso I, do Código de Processo Penal;Peça Profissional;40_direito_penal_peca_profissional
direito_penal;Nível 4 - Ministro (STF/STJ);Súmula Vinculante 24 do STF;Discursiva;40_direito_penal_questao_1
direito_penal;Nível 3 - Juiz de Direito;Art. 24-A, § 2º da Lei nº 11.340/2006 e Súmula 542 do STJ;Discursiva;40_direito_penal_questao_2
direito_penal;Nível 3 - Juiz de Direito;Art. 55 da Lei nº 11.343/2006 e Art. 112 da Lei nº 7.210/1984;Discursiva;40_direito_penal_questao_3
direito_penal;Nível 3 - Juiz de Direito;Art. 121, § 3º do CP e Art. 419 do CPP;Discursiva;40_direito_penal_questao_4
